"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 17 21:32:28 BDT 2023","Mon Jul 17 21:32:37 BDT 2023","9163","Orange HRM Portal Automation (0)","Create new employee","testRunner.EmloyeeTestRunner","testRunner.EmloyeeTestRunner","createEmployeeWithoutLastName","Employee cannot be created without lastname",""
"passed","Mon Jul 17 21:31:37 BDT 2023","Mon Jul 17 21:31:43 BDT 2023","5441","Orange HRM Portal Automation","Orange HRM portal login test","testRunner.adminLoginTestRunner","testRunner.adminLoginTestRunner","doLogin","User can login with valid creds",""
"passed","Mon Jul 17 21:33:56 BDT 2023","Mon Jul 17 21:34:02 BDT 2023","5088","Orange HRM Portal Automation (0)","login by new employee","testRunner.userTestRunner","testRunner.userTestRunner","saveGender","Employee can save gender ",""
"failed","Mon Jul 17 21:33:18 BDT 2023","Mon Jul 17 21:33:26 BDT 2023","7579","Orange HRM Portal Automation (0)","Create new employee","testRunner.EmloyeeTestRunner","testRunner.EmloyeeTestRunner","searchEmployeeByName","Search employee by valid name",""
"passed","Mon Jul 17 21:33:26 BDT 2023","Mon Jul 17 21:33:28 BDT 2023","1715","Orange HRM Portal Automation (0)","Create new employee","testRunner.EmloyeeTestRunner","testRunner.EmloyeeTestRunner","doLogout","Successfully logout",""
"broken","Sat Jul 15 11:54:14 BDT 2023","Sat Jul 15 11:54:14 BDT 2023","9","Orange HRM Portal Automation","Orange HRM portal login test","testRunner.adminLoginTestRunner","testRunner.adminLoginTestRunner","setup","setup",""
"passed","Mon Jul 17 21:33:48 BDT 2023","Mon Jul 17 21:33:52 BDT 2023","3550","Orange HRM Portal Automation (0)","login by new employee","testRunner.userTestRunner","testRunner.userTestRunner","doLoginWithInvalidUsername","employee can't login with invalid username",""
"passed","Mon Jul 17 21:34:14 BDT 2023","Mon Jul 17 21:34:20 BDT 2023","5464","Orange HRM Portal Automation (0)","login by new employee","testRunner.userTestRunner","testRunner.userTestRunner","bloodSelectUpdate","Employee blood type must be selected for update",""
"failed","Mon Jul 17 21:33:12 BDT 2023","Mon Jul 17 21:33:18 BDT 2023","5742","Orange HRM Portal Automation (0)","Create new employee","testRunner.EmloyeeTestRunner","testRunner.EmloyeeTestRunner","searchEmployeeByInvalidName","Search employee by invalid name",""
"passed","Mon Jul 17 21:34:08 BDT 2023","Mon Jul 17 21:34:14 BDT 2023","6241","Orange HRM Portal Automation (0)","login by new employee","testRunner.userTestRunner","testRunner.userTestRunner","updateBloodType","Employee can update their blood type ",""
"broken","Sun Jul 16 09:24:57 BDT 2023","Sun Jul 16 09:24:57 BDT 2023","2","Orange HRM Portal Automation (0)","Create new employee","testRunner.EmloyeeTestRunner","testRunner.EmloyeeTestRunner","setup","setup",""
